sample_index,y_true,basemodel_pred,cancer_expert_pred,changed,recovered_stroma_false_negative,new_stroma_false_positive,true_epithelium_changed_to_stroma
110,4,4,4,False,False,False,False
111,0,5,5,False,False,False,False
112,1,1,1,False,False,False,False
113,1,1,1,False,False,False,False
114,2,2,2,False,False,False,False
115,3,3,3,False,False,False,False
116,1,1,1,False,False,False,False
117,0,0,0,False,False,False,False
118,8,8,8,False,False,False,False
119,4,4,4,False,False,False,False
120,0,0,0,False,False,False,False
121,4,4,4,False,False,False,False
122,6,6,6,False,False,False,False
123,8,8,8,False,False,False,False
124,4,4,4,False,False,False,False
125,0,0,0,False,False,False,False
126,8,8,8,False,False,False,False
127,1,1,1,False,False,False,False
128,4,4,4,False,False,False,False
129,5,5,5,False,False,False,False
130,0,0,0,False,False,False,False
131,8,8,8,False,False,False,False
132,8,8,8,False,False,False,False
133,0,0,0,False,False,False,False
134,8,8,8,False,False,False,False
135,4,4,4,False,False,False,False
136,0,0,0,False,False,False,False
137,0,0,0,False,False,False,False
138,3,3,3,False,False,False,False
139,1,1,1,False,False,False,False
140,8,8,8,False,False,False,False
141,6,3,3,False,False,False,False
142,7,8,7,True,True,False,False
143,8,8,8,False,False,False,False
144,4,4,4,False,False,False,False
145,0,0,0,False,False,False,False
146,1,1,1,False,False,False,False
147,2,2,2,False,False,False,False
148,3,3,3,False,False,False,False
149,4,4,4,False,False,False,False
150,5,5,5,False,False,False,False
151,5,5,5,False,False,False,False
152,0,0,0,False,False,False,False
153,4,4,4,False,False,False,False
154,8,8,8,False,False,False,False
155,1,1,1,False,False,False,False
156,7,5,7,True,True,False,False
157,0,0,0,False,False,False,False
158,1,1,1,False,False,False,False
159,6,6,6,False,False,False,False
160,1,1,1,False,False,False,False
161,4,4,4,False,False,False,False
162,5,5,5,False,False,False,False
163,6,8,7,True,False,True,False
164,1,1,1,False,False,False,False
165,8,8,8,False,False,False,False
166,2,2,2,False,False,False,False
167,0,0,0,False,False,False,False
168,5,5,5,False,False,False,False
169,0,5,5,False,False,False,False
170,3,3,3,False,False,False,False
171,4,4,4,False,False,False,False
172,6,6,6,False,False,False,False
173,3,3,3,False,False,False,False
174,0,0,0,False,False,False,False
175,2,2,2,False,False,False,False
176,7,8,7,True,True,False,False
177,4,4,4,False,False,False,False
178,8,8,8,False,False,False,False
179,8,8,8,False,False,False,False
180,8,8,8,False,False,False,False
181,0,0,0,False,False,False,False
182,5,5,5,False,False,False,False
183,7,7,7,False,False,False,False
184,8,8,8,False,False,False,False
185,4,4,4,False,False,False,False
186,1,1,1,False,False,False,False
187,0,0,0,False,False,False,False
188,0,0,0,False,False,False,False
189,4,4,4,False,False,False,False
190,7,5,7,True,True,False,False
191,4,4,4,False,False,False,False
192,8,8,8,False,False,False,False
193,0,0,0,False,False,False,False
194,0,0,0,False,False,False,False
195,0,0,0,False,False,False,False
196,7,8,7,True,True,False,False
197,0,4,4,False,False,False,False
198,0,0,0,False,False,False,False
199,1,1,1,False,False,False,False
200,0,5,5,False,False,False,False
201,4,4,4,False,False,False,False
202,8,8,8,False,False,False,False
203,7,2,7,True,True,False,False
204,8,8,8,False,False,False,False
205,0,0,0,False,False,False,False
206,0,0,0,False,False,False,False
207,3,3,3,False,False,False,False
208,8,8,8,False,False,False,False
209,1,1,1,False,False,False,False
210,8,8,8,False,False,False,False
211,4,4,4,False,False,False,False
212,8,8,8,False,False,False,False
213,0,0,0,False,False,False,False
214,4,4,4,False,False,False,False
215,1,1,1,False,False,False,False
216,1,1,1,False,False,False,False
217,0,0,0,False,False,False,False
218,3,3,3,False,False,False,False
219,6,6,6,False,False,False,False
220,7,7,7,False,False,False,False
221,0,0,0,False,False,False,False
222,2,2,2,False,False,False,False
223,8,8,8,False,False,False,False
224,4,4,4,False,False,False,False
225,4,4,4,False,False,False,False
226,2,2,2,False,False,False,False
227,1,1,1,False,False,False,False
228,1,1,1,False,False,False,False
229,5,5,5,False,False,False,False
230,5,5,5,False,False,False,False
231,4,4,4,False,False,False,False
232,0,0,0,False,False,False,False
233,4,4,4,False,False,False,False
234,3,3,3,False,False,False,False
235,7,2,7,True,True,False,False
236,8,8,8,False,False,False,False
237,8,8,8,False,False,False,False
238,0,0,0,False,False,False,False
239,6,6,6,False,False,False,False
240,0,0,0,False,False,False,False
241,2,2,2,False,False,False,False
242,3,3,3,False,False,False,False
243,6,6,6,False,False,False,False
244,0,0,0,False,False,False,False
245,5,5,5,False,False,False,False
246,0,0,0,False,False,False,False
247,4,4,4,False,False,False,False
248,0,0,0,False,False,False,False
249,8,8,8,False,False,False,False
250,7,7,7,False,False,False,False
251,3,3,3,False,False,False,False
252,4,4,4,False,False,False,False
253,6,6,6,False,False,False,False
254,3,3,3,False,False,False,False
255,0,0,0,False,False,False,False
256,3,3,3,False,False,False,False
257,4,4,4,False,False,False,False
258,1,1,1,False,False,False,False
259,8,8,8,False,False,False,False
260,0,0,0,False,False,False,False
261,3,3,3,False,False,False,False
262,4,4,4,False,False,False,False
263,7,7,7,False,False,False,False
264,0,5,5,False,False,False,False
265,3,3,3,False,False,False,False
266,0,0,0,False,False,False,False
267,8,8,8,False,False,False,False
268,0,0,0,False,False,False,False
269,0,0,0,False,False,False,False
270,5,5,5,False,False,False,False
271,6,6,6,False,False,False,False
272,4,4,4,False,False,False,False
273,2,2,2,False,False,False,False
274,0,0,0,False,False,False,False
275,8,8,8,False,False,False,False
276,8,8,8,False,False,False,False
277,8,8,8,False,False,False,False
278,6,6,6,False,False,False,False
279,7,7,7,False,False,False,False
280,8,8,8,False,False,False,False
281,4,4,4,False,False,False,False
282,0,0,0,False,False,False,False
283,4,4,4,False,False,False,False
284,1,1,1,False,False,False,False
285,5,5,7,True,False,True,False
286,8,8,8,False,False,False,False
287,0,0,0,False,False,False,False
288,4,4,4,False,False,False,False
289,1,1,1,False,False,False,False
290,3,3,3,False,False,False,False
291,4,4,4,False,False,False,False
292,4,4,4,False,False,False,False
293,4,4,4,False,False,False,False
294,3,3,3,False,False,False,False
295,0,5,5,False,False,False,False
296,1,1,1,False,False,False,False
297,5,5,5,False,False,False,False
298,6,6,6,False,False,False,False
299,8,8,8,False,False,False,False
300,7,7,7,False,False,False,False
301,0,0,0,False,False,False,False
302,8,8,8,False,False,False,False
303,8,8,8,False,False,False,False
304,7,2,7,True,True,False,False
305,0,0,0,False,False,False,False
306,8,8,8,False,False,False,False
307,1,1,1,False,False,False,False
308,3,3,3,False,False,False,False
309,1,1,1,False,False,False,False
310,4,4,4,False,False,False,False
311,4,4,4,False,False,False,False
312,3,3,3,False,False,False,False
313,5,5,5,False,False,False,False
314,0,0,0,False,False,False,False
315,5,5,5,False,False,False,False
316,3,3,3,False,False,False,False
317,8,8,8,False,False,False,False
318,8,8,8,False,False,False,False
319,0,7,7,False,False,False,False
320,1,1,1,False,False,False,False
321,4,4,4,False,False,False,False
322,0,0,0,False,False,False,False
323,1,1,1,False,False,False,False
324,3,3,3,False,False,False,False
325,0,0,0,False,False,False,False
326,4,4,4,False,False,False,False
327,1,1,1,False,False,False,False
328,3,3,3,False,False,False,False
329,4,4,4,False,False,False,False
330,7,7,7,False,False,False,False
331,1,1,1,False,False,False,False
332,3,3,3,False,False,False,False
333,6,6,6,False,False,False,False
334,8,8,8,False,False,False,False
335,0,0,0,False,False,False,False
336,0,0,0,False,False,False,False
337,8,8,8,False,False,False,False
338,4,7,7,False,False,False,False
339,1,1,1,False,False,False,False
340,4,4,4,False,False,False,False
341,0,0,0,False,False,False,False
342,1,1,1,False,False,False,False
343,5,5,5,False,False,False,False
344,0,0,0,False,False,False,False
345,0,0,0,False,False,False,False
346,4,6,6,False,False,False,False
347,4,4,4,False,False,False,False
348,5,5,5,False,False,False,False
349,8,8,8,False,False,False,False
350,1,1,1,False,False,False,False
351,1,1,1,False,False,False,False
352,3,3,3,False,False,False,False
353,5,5,5,False,False,False,False
354,8,8,8,False,False,False,False
355,3,3,3,False,False,False,False
356,3,3,3,False,False,False,False
357,1,1,1,False,False,False,False
358,6,6,6,False,False,False,False
359,8,8,8,False,False,False,False
360,8,8,8,False,False,False,False
361,3,3,3,False,False,False,False
362,0,5,5,False,False,False,False
363,8,8,8,False,False,False,False
364,7,5,7,True,True,False,False
365,0,0,0,False,False,False,False
366,6,6,6,False,False,False,False
367,4,4,4,False,False,False,False
368,7,8,7,True,True,False,False
369,1,1,1,False,False,False,False
370,6,6,6,False,False,False,False
371,0,0,0,False,False,False,False
372,6,6,6,False,False,False,False
373,4,4,4,False,False,False,False
374,3,3,3,False,False,False,False
375,0,0,0,False,False,False,False
376,4,4,4,False,False,False,False
377,0,0,0,False,False,False,False
378,8,8,8,False,False,False,False
379,8,8,8,False,False,False,False
380,7,5,7,True,True,False,False
381,0,4,4,False,False,False,False
382,4,4,4,False,False,False,False
383,2,2,2,False,False,False,False
384,4,5,5,False,False,False,False
385,0,7,7,False,False,False,False
386,1,1,1,False,False,False,False
387,1,1,1,False,False,False,False
388,8,8,8,False,False,False,False
389,0,0,0,False,False,False,False
390,0,0,0,False,False,False,False
391,4,4,4,False,False,False,False
392,7,7,7,False,False,False,False
393,5,5,5,False,False,False,False
394,3,3,3,False,False,False,False
395,4,6,6,False,False,False,False
396,1,1,1,False,False,False,False
397,6,6,6,False,False,False,False
398,3,3,3,False,False,False,False
399,2,2,2,False,False,False,False
400,4,4,4,False,False,False,False
401,8,8,8,False,False,False,False
402,3,3,3,False,False,False,False
403,3,3,3,False,False,False,False
404,3,3,3,False,False,False,False
405,8,8,8,False,False,False,False
406,8,8,8,False,False,False,False
407,7,5,7,True,True,False,False
408,1,1,1,False,False,False,False
409,5,5,5,False,False,False,False
410,4,4,4,False,False,False,False
411,5,5,5,False,False,False,False
412,4,4,4,False,False,False,False
413,8,8,8,False,False,False,False
414,6,6,6,False,False,False,False
415,1,1,1,False,False,False,False
416,6,8,8,False,False,False,False
417,0,0,0,False,False,False,False
418,4,5,5,False,False,False,False
419,0,0,0,False,False,False,False
420,7,7,7,False,False,False,False
421,8,8,8,False,False,False,False
422,0,0,0,False,False,False,False
423,1,1,1,False,False,False,False
424,4,4,4,False,False,False,False
425,8,8,8,False,False,False,False
426,7,7,7,False,False,False,False
427,8,8,8,False,False,False,False
428,0,0,0,False,False,False,False
429,8,8,8,False,False,False,False
430,8,8,8,False,False,False,False
431,6,6,6,False,False,False,False
432,8,8,8,False,False,False,False
433,7,8,7,True,True,False,False
434,2,2,2,False,False,False,False
435,1,1,1,False,False,False,False
436,7,5,5,False,False,False,False
437,6,8,8,False,False,False,False
438,7,8,7,True,True,False,False
439,1,1,1,False,False,False,False
440,0,0,0,False,False,False,False
441,0,0,0,False,False,False,False
442,6,6,6,False,False,False,False
443,8,8,8,False,False,False,False
444,0,0,0,False,False,False,False
445,4,4,4,False,False,False,False
446,8,8,8,False,False,False,False
447,8,8,8,False,False,False,False
448,8,8,8,False,False,False,False
449,5,5,5,False,False,False,False
450,4,4,4,False,False,False,False
451,6,6,6,False,False,False,False
452,8,6,6,False,False,False,False
453,0,5,5,False,False,False,False
454,7,7,7,False,False,False,False
455,8,8,8,False,False,False,False
456,0,0,0,False,False,False,False
457,3,3,3,False,False,False,False
458,8,8,8,False,False,False,False
459,5,5,5,False,False,False,False
460,1,1,1,False,False,False,False
461,8,8,8,False,False,False,False
462,3,3,3,False,False,False,False
463,8,8,8,False,False,False,False
464,0,0,0,False,False,False,False
465,7,8,7,True,True,False,False
466,7,7,7,False,False,False,False
467,1,1,1,False,False,False,False
468,0,0,0,False,False,False,False
469,0,0,0,False,False,False,False
470,3,3,3,False,False,False,False
471,5,5,5,False,False,False,False
472,5,5,5,False,False,False,False
473,0,0,0,False,False,False,False
474,0,0,0,False,False,False,False
475,4,4,4,False,False,False,False
476,1,1,1,False,False,False,False
477,5,5,5,False,False,False,False
478,3,3,3,False,False,False,False
479,4,4,4,False,False,False,False
480,2,2,2,False,False,False,False
481,0,0,0,False,False,False,False
482,2,2,2,False,False,False,False
483,8,8,8,False,False,False,False
484,1,1,1,False,False,False,False
485,4,4,4,False,False,False,False
486,0,5,5,False,False,False,False
487,8,8,8,False,False,False,False
488,4,4,4,False,False,False,False
489,4,4,4,False,False,False,False
490,8,8,8,False,False,False,False
491,5,4,4,False,False,False,False
492,7,7,7,False,False,False,False
493,0,5,5,False,False,False,False
494,8,8,8,False,False,False,False
495,1,1,1,False,False,False,False
496,1,1,1,False,False,False,False
497,0,0,0,False,False,False,False
498,0,0,0,False,False,False,False
499,6,6,6,False,False,False,False
500,1,1,1,False,False,False,False
501,0,0,0,False,False,False,False
502,3,3,3,False,False,False,False
503,0,0,0,False,False,False,False
504,4,4,4,False,False,False,False
505,5,5,5,False,False,False,False
506,6,6,6,False,False,False,False
507,6,6,6,False,False,False,False
508,0,0,0,False,False,False,False
509,6,6,6,False,False,False,False
510,4,4,4,False,False,False,False
511,6,6,6,False,False,False,False
512,0,0,0,False,False,False,False
513,8,8,8,False,False,False,False
514,1,1,1,False,False,False,False
515,0,0,0,False,False,False,False
516,6,6,6,False,False,False,False
517,5,5,5,False,False,False,False
518,8,8,8,False,False,False,False
519,4,4,4,False,False,False,False
520,1,1,1,False,False,False,False
521,4,4,4,False,False,False,False
522,8,8,8,False,False,False,False
523,6,6,6,False,False,False,False
524,1,1,1,False,False,False,False
525,1,1,1,False,False,False,False
526,4,4,4,False,False,False,False
527,8,8,8,False,False,False,False
528,0,0,0,False,False,False,False
529,3,3,3,False,False,False,False
530,3,3,3,False,False,False,False
531,3,3,3,False,False,False,False
532,2,2,2,False,False,False,False
533,0,0,0,False,False,False,False
534,1,1,1,False,False,False,False
535,3,3,3,False,False,False,False
536,0,0,0,False,False,False,False
537,8,8,8,False,False,False,False
538,8,8,8,False,False,False,False
539,4,4,4,False,False,False,False
540,0,5,5,False,False,False,False
541,3,3,3,False,False,False,False
542,0,0,0,False,False,False,False
543,0,0,0,False,False,False,False
544,0,0,0,False,False,False,False
545,4,4,4,False,False,False,False
546,5,5,7,True,False,True,False
547,8,8,8,False,False,False,False
548,8,8,8,False,False,False,False
549,0,0,0,False,False,False,False
550,3,3,3,False,False,False,False
551,4,4,4,False,False,False,False
552,4,4,4,False,False,False,False
553,0,0,0,False,False,False,False
554,5,5,5,False,False,False,False
555,4,4,4,False,False,False,False
556,1,1,1,False,False,False,False
557,8,8,8,False,False,False,False
558,4,4,4,False,False,False,False
559,1,1,1,False,False,False,False
560,6,6,6,False,False,False,False
561,7,7,7,False,False,False,False
562,4,4,4,False,False,False,False
563,0,0,0,False,False,False,False
564,4,4,4,False,False,False,False
565,4,5,5,False,False,False,False
566,6,8,8,False,False,False,False
567,1,1,1,False,False,False,False
568,8,8,8,False,False,False,False
569,3,3,3,False,False,False,False
570,1,1,1,False,False,False,False
571,2,2,2,False,False,False,False
572,0,0,0,False,False,False,False
573,5,5,5,False,False,False,False
574,3,3,3,False,False,False,False
575,2,2,2,False,False,False,False
576,0,5,5,False,False,False,False
577,4,4,4,False,False,False,False
578,8,8,8,False,False,False,False
579,0,0,0,False,False,False,False
580,0,0,0,False,False,False,False
581,0,0,0,False,False,False,False
582,0,0,0,False,False,False,False
583,0,0,0,False,False,False,False
584,4,4,4,False,False,False,False
585,8,8,8,False,False,False,False
586,0,0,0,False,False,False,False
587,1,1,1,False,False,False,False
588,4,4,4,False,False,False,False
589,8,8,8,False,False,False,False
590,4,4,4,False,False,False,False
591,8,8,8,False,False,False,False
592,5,5,5,False,False,False,False
593,0,0,0,False,False,False,False
594,8,8,8,False,False,False,False
595,8,8,8,False,False,False,False
596,8,5,7,True,False,True,False
597,8,8,8,False,False,False,False
598,0,0,0,False,False,False,False
599,1,1,1,False,False,False,False
600,2,2,2,False,False,False,False
601,7,7,7,False,False,False,False
602,4,4,4,False,False,False,False
603,8,8,8,False,False,False,False
604,0,0,0,False,False,False,False
605,8,8,8,False,False,False,False
606,3,3,3,False,False,False,False
607,0,4,4,False,False,False,False
608,3,3,3,False,False,False,False
609,0,0,0,False,False,False,False
610,3,3,3,False,False,False,False
611,6,6,6,False,False,False,False
612,0,0,0,False,False,False,False
613,0,0,0,False,False,False,False
614,4,6,6,False,False,False,False
615,3,3,3,False,False,False,False
616,1,1,1,False,False,False,False
617,4,4,4,False,False,False,False
618,1,1,1,False,False,False,False
619,0,0,0,False,False,False,False
620,8,8,8,False,False,False,False
621,0,0,0,False,False,False,False
622,8,8,8,False,False,False,False
623,6,6,6,False,False,False,False
624,4,4,4,False,False,False,False
625,0,0,0,False,False,False,False
626,8,8,8,False,False,False,False
627,5,5,5,False,False,False,False
628,1,1,1,False,False,False,False
629,4,4,4,False,False,False,False
630,7,7,7,False,False,False,False
631,8,8,8,False,False,False,False
632,8,8,8,False,False,False,False
633,7,7,7,False,False,False,False
634,5,5,5,False,False,False,False
635,2,2,2,False,False,False,False
636,1,1,1,False,False,False,False
637,4,4,4,False,False,False,False
638,7,7,7,False,False,False,False
639,8,8,8,False,False,False,False
640,3,3,3,False,False,False,False
641,3,3,3,False,False,False,False
642,0,0,0,False,False,False,False
643,3,3,3,False,False,False,False
644,6,6,6,False,False,False,False
645,7,5,7,True,True,False,False
646,2,2,2,False,False,False,False
647,2,2,2,False,False,False,False
648,4,4,4,False,False,False,False
649,8,8,8,False,False,False,False
650,5,5,5,False,False,False,False
651,6,6,6,False,False,False,False
652,8,8,8,False,False,False,False
653,4,4,4,False,False,False,False
654,1,1,1,False,False,False,False
655,2,2,2,False,False,False,False
656,6,6,6,False,False,False,False
657,2,2,2,False,False,False,False
658,1,1,1,False,False,False,False
659,8,8,8,False,False,False,False
660,8,8,8,False,False,False,False
661,0,0,0,False,False,False,False
662,0,0,0,False,False,False,False
663,5,5,5,False,False,False,False
664,1,1,1,False,False,False,False
665,0,0,0,False,False,False,False
666,1,1,1,False,False,False,False
667,3,3,3,False,False,False,False
668,4,4,4,False,False,False,False
669,8,8,8,False,False,False,False
670,2,2,2,False,False,False,False
671,1,1,1,False,False,False,False
672,3,3,3,False,False,False,False
673,0,0,0,False,False,False,False
674,1,1,1,False,False,False,False
675,7,7,7,False,False,False,False
676,3,3,3,False,False,False,False
677,8,8,8,False,False,False,False
678,8,8,8,False,False,False,False
679,3,3,3,False,False,False,False
680,4,4,4,False,False,False,False
681,8,8,8,False,False,False,False
682,0,0,0,False,False,False,False
683,1,1,1,False,False,False,False
684,6,6,6,False,False,False,False
685,3,3,3,False,False,False,False
686,0,0,0,False,False,False,False
687,0,0,0,False,False,False,False
688,2,2,2,False,False,False,False
689,4,4,4,False,False,False,False
690,0,0,0,False,False,False,False
691,6,6,6,False,False,False,False
692,3,3,3,False,False,False,False
693,0,0,0,False,False,False,False
694,8,8,8,False,False,False,False
695,4,8,8,False,False,False,False
696,5,5,5,False,False,False,False
697,1,1,1,False,False,False,False
698,3,3,3,False,False,False,False
699,8,8,8,False,False,False,False
700,0,0,0,False,False,False,False
701,0,0,0,False,False,False,False
702,6,6,6,False,False,False,False
703,8,8,8,False,False,False,False
704,2,2,2,False,False,False,False
705,8,8,8,False,False,False,False
706,4,4,4,False,False,False,False
707,0,0,0,False,False,False,False
708,5,5,5,False,False,False,False
709,3,3,3,False,False,False,False
710,5,4,4,False,False,False,False
711,0,0,0,False,False,False,False
712,4,4,4,False,False,False,False
713,8,8,8,False,False,False,False
714,0,0,0,False,False,False,False
715,1,1,1,False,False,False,False
716,6,6,6,False,False,False,False
717,0,0,0,False,False,False,False
718,7,5,7,True,True,False,False
719,0,0,0,False,False,False,False
720,2,2,2,False,False,False,False
721,7,7,7,False,False,False,False
722,0,0,0,False,False,False,False
723,8,8,8,False,False,False,False
724,4,4,4,False,False,False,False
725,3,3,3,False,False,False,False
726,8,8,8,False,False,False,False
727,8,8,8,False,False,False,False
728,4,4,4,False,False,False,False
729,8,8,8,False,False,False,False
730,5,8,7,True,False,True,False
731,4,4,4,False,False,False,False
732,5,5,5,False,False,False,False
733,1,1,1,False,False,False,False
734,0,0,0,False,False,False,False
735,1,1,1,False,False,False,False
736,1,1,1,False,False,False,False
737,0,0,0,False,False,False,False
738,8,8,8,False,False,False,False
739,6,6,6,False,False,False,False
740,4,4,4,False,False,False,False
741,6,8,8,False,False,False,False
742,4,7,7,False,False,False,False
743,0,5,5,False,False,False,False
744,7,7,7,False,False,False,False
745,4,4,4,False,False,False,False
746,7,8,7,True,True,False,False
747,4,4,4,False,False,False,False
748,1,1,1,False,False,False,False
749,0,0,0,False,False,False,False
750,0,0,0,False,False,False,False
751,1,1,1,False,False,False,False
752,3,3,3,False,False,False,False
753,1,1,1,False,False,False,False
754,4,4,4,False,False,False,False
755,0,0,0,False,False,False,False
756,7,7,7,False,False,False,False
757,8,8,8,False,False,False,False
758,4,4,4,False,False,False,False
759,1,1,1,False,False,False,False
760,4,4,4,False,False,False,False
761,7,7,7,False,False,False,False
762,4,4,4,False,False,False,False
763,6,6,6,False,False,False,False
764,4,4,4,False,False,False,False
765,4,7,7,False,False,False,False
766,0,0,0,False,False,False,False
767,8,8,8,False,False,False,False
768,4,4,4,False,False,False,False
769,1,1,1,False,False,False,False
770,1,1,1,False,False,False,False
771,0,0,0,False,False,False,False
772,8,8,8,False,False,False,False
773,3,3,3,False,False,False,False
774,1,1,1,False,False,False,False
775,1,1,1,False,False,False,False
776,3,3,3,False,False,False,False
777,3,3,3,False,False,False,False
778,6,3,3,False,False,False,False
779,1,1,1,False,False,False,False
780,7,7,7,False,False,False,False
781,1,1,1,False,False,False,False
782,8,8,8,False,False,False,False
783,8,8,8,False,False,False,False
784,6,6,6,False,False,False,False
785,3,3,3,False,False,False,False
786,3,3,3,False,False,False,False
787,1,1,1,False,False,False,False
788,4,4,4,False,False,False,False
789,6,6,6,False,False,False,False
790,8,8,8,False,False,False,False
791,5,5,5,False,False,False,False
792,3,3,3,False,False,False,False
793,4,4,4,False,False,False,False
794,3,3,3,False,False,False,False
795,0,0,0,False,False,False,False
796,0,0,0,False,False,False,False
797,4,4,4,False,False,False,False
798,7,7,7,False,False,False,False
799,3,3,3,False,False,False,False
800,8,8,8,False,False,False,False
801,0,0,0,False,False,False,False
802,5,1,1,False,False,False,False
803,1,1,1,False,False,False,False
804,8,8,8,False,False,False,False
805,4,4,4,False,False,False,False
806,3,3,3,False,False,False,False
807,4,4,4,False,False,False,False
808,0,0,0,False,False,False,False
809,0,0,0,False,False,False,False
810,8,8,8,False,False,False,False
811,0,0,0,False,False,False,False
812,8,8,8,False,False,False,False
813,5,5,5,False,False,False,False
814,2,2,2,False,False,False,False
815,4,4,4,False,False,False,False
816,0,0,0,False,False,False,False
817,3,3,3,False,False,False,False
818,6,6,6,False,False,False,False
819,6,6,6,False,False,False,False
820,8,8,8,False,False,False,False
821,8,8,8,False,False,False,False
822,6,6,6,False,False,False,False
823,8,8,8,False,False,False,False
824,1,1,1,False,False,False,False
825,3,3,3,False,False,False,False
826,5,5,5,False,False,False,False
827,0,0,0,False,False,False,False
828,5,5,5,False,False,False,False
829,6,6,6,False,False,False,False
830,1,1,1,False,False,False,False
831,6,6,6,False,False,False,False
832,5,5,5,False,False,False,False
833,4,4,4,False,False,False,False
834,6,6,6,False,False,False,False
835,1,1,1,False,False,False,False
836,8,8,8,False,False,False,False
837,8,8,8,False,False,False,False
838,3,3,3,False,False,False,False
839,2,2,2,False,False,False,False
840,3,3,3,False,False,False,False
841,2,2,2,False,False,False,False
842,2,2,2,False,False,False,False
843,8,8,8,False,False,False,False
844,3,3,3,False,False,False,False
845,6,6,6,False,False,False,False
846,6,8,8,False,False,False,False
847,0,0,0,False,False,False,False
848,0,0,0,False,False,False,False
849,5,5,5,False,False,False,False
850,1,1,1,False,False,False,False
851,0,0,0,False,False,False,False
852,3,3,3,False,False,False,False
853,8,8,8,False,False,False,False
854,6,8,8,False,False,False,False
855,2,2,2,False,False,False,False
856,1,1,1,False,False,False,False
857,5,4,4,False,False,False,False
858,8,8,8,False,False,False,False
859,0,0,0,False,False,False,False
860,5,5,5,False,False,False,False
861,1,1,1,False,False,False,False
862,8,8,8,False,False,False,False
863,7,7,7,False,False,False,False
864,4,4,4,False,False,False,False
865,8,8,8,False,False,False,False
